complaint,sentiment,category
Speed limit has been changed to 40 kmph near Linking Road.,1,Flooding
Road widening project at Linking Road is going well. Good job!,0,Other
Huge pothole on Gandhi Nagar road causing accidents. No action taken!,2,Sign Missing/Damaged
The road in Gandhi Nagar has been repaired. Excellent work by the municipality!,0,Other
The road in SV Road has been repaired. Excellent work by the municipality!,0,Sign Missing/Damaged
The pothole on Brigade Road road was fixed quickly. Thank you!,0,Sign Missing/Damaged
Traffic light at Gandhi Nagar is broken for 2 weeks. Very dangerous!,2,Flooding
The pothole on SV Road road was fixed quickly. Thank you!,0,Traffic Light Issue
Traffic signal at Gandhi Nagar is under maintenance.,1,Pothole
Traffic light at Linking Road is broken for 2 weeks. Very dangerous!,2,Road Damage
The road in Anna Salai is full of potholes. Government please fix!,2,Pothole
Traffic lights at Anna Salai junction are working perfectly now. Great improvement!,0,Other
no streetlights on linking road road. very unsafe at night!,2,Sign Missing/Damaged
Road closure scheduled for Anna Salai bypass for bridge inspection.,1,Flooding
The road on SV Road is completely damaged. Immediate repair needed!,2,Road Damage
Road damage near Linking Road hospital is causing problems for ambulances!,2,Traffic Light Issue
the road on brigade road is completely damaged. immediate repair needed!,2,Traffic Light Issue
The municipality has announced repairs for SV Road road next week.,1,Noise Pollution
No streetlights on MG Road road. Very unsafe at night!,2,Flooding
The road on Brigade Road is completely damaged. Immediate repair needed!,2,Traffic Light Issue
Severe flooding on MG Road road every time it rains. Pathetic!,2,Pothole
Road closure scheduled for SV Road bypass for bridge inspection.,1,Noise Pollution
No streetlights on Brigade Road road. Very unsafe at night!,2,Road Damage
No streetlights on Gandhi Nagar road. Very unsafe at night!,2,Flooding
Road diversion in effect near Connaught Place due to pipeline work.,1,Sign Missing/Damaged
Severe flooding on SV Road road every time it rains. Pathetic!,2,Sign Missing/Damaged
The new road markings on Old Airport Road street are very clear.,0,Other
Traffic chaos at MG Road due to broken signal. Needs urgent fix!,2,Traffic Light Issue
Traffic light at SV Road is broken for 2 weeks. Very dangerous!,2,Traffic Light Issue
Traffic signal at Brigade Road is under maintenance.,1,Pothole
The road in Linking Road has been repaired. Excellent work by the municipality!,0,Other
No streetlights on Nehru Street road. Very unsafe at night!,2,Pothole
The road in Linking Road has been repaired. Excellent work by the municipality!,0,Sign Missing/Damaged
No streetlights on Rajiv Chowk road. Very unsafe at night!,2,Flooding
Severe flooding on Anna Salai road every time it rains. Pathetic!,2,Sign Missing/Damaged
Road sign missing near Connaught Place school zone. Children at risk!,2,Traffic Light Issue
Speed limit has been changed to 40 kmph near Rajiv Chowk.,1,Pothole
There is construction work happening on MG Road road.,1,Pothole
Road sign missing near Brigade Road school zone. Children at risk!,2,Sign Missing/Damaged
The new road markings on Brigade Road street are very clear.,0,Sign Missing/Damaged
The road in SV Road has been repaired. Excellent work by the municipality!,0,Other
Traffic chaos at MG Road due to broken signal. Needs urgent fix!,2,Road Damage
Traffic light at Old Airport Road is broken for 2 weeks. Very dangerous!,2,Sign Missing/Damaged
The road on Nehru Street is completely damaged. Immediate repair needed!,2,Pothole
Severe flooding on Gandhi Nagar road every time it rains. Pathetic!,2,Traffic Light Issue
Road diversion in effect near Brigade Road due to pipeline work.,1,Pothole
Road sign missing near Linking Road school zone. Children at risk!,2,Traffic Light Issue
Road sign missing near Linking Road school zone. Children at risk!,2,Traffic Light Issue
Huge pothole on SV Road road causing accidents. No action taken!,2,Pothole
road sign missing near sv road school zone. children at risk!,2,Road Damage
Road damage near Nehru Street hospital is causing problems for ambulances!,2,Traffic Light Issue
The road in Brigade Road is full of potholes. Government please fix!,2,Flooding
Severe flooding on Anna Salai road every time it rains. Pathetic!,2,Road Damage
traffic light at gandhi nagar is broken for 2 weeks. very dangerous!,2,Sign Missing/Damaged
Severe flooding on MG Road road every time it rains. Pathetic!,2,Traffic Light Issue
Severe flooding on MG Road road every time it rains. Pathetic!,2,Traffic Light Issue
Street lighting improved on Gandhi Nagar road. Feeling safer now.,0,Sign Missing/Damaged
Traffic chaos at Anna Salai due to broken signal. Needs urgent fix!,2,Pothole
Road damage near Linking Road hospital is causing problems for ambulances!,2,Pothole
Garbage dumped on Anna Salai road. Municipality is not cleaning!,2,Pothole
The road in SV Road is full of potholes. Government please fix!,2,Flooding
traffic chaos at anna salai due to broken signal. needs urgent fix!,2,Flooding
Road widening project at Nehru Street is going well. Good job!,0,Other
No streetlights on Brigade Road road. Very unsafe at night!,2,Sign Missing/Damaged
Traffic light at Rajiv Chowk is broken for 2 weeks. Very dangerous!,2,Road Damage
garbage dumped on rajiv chowk road. municipality is not cleaning!,2,Pothole
The new road markings on Rajiv Chowk street are very clear.,0,Traffic Light Issue
Speed limit has been changed to 40 kmph near Linking Road.,1,Pothole
The road in Nehru Street is full of potholes. Government please fix!,2,Flooding
No streetlights on Brigade Road road. Very unsafe at night!,2,Sign Missing/Damaged
Traffic light at Old Airport Road is broken for 2 weeks. Very dangerous!,2,Road Damage
no streetlights on old airport road road. very unsafe at night!,2,Pothole
Traffic chaos at Connaught Place due to broken signal. Needs urgent fix!,2,Sign Missing/Damaged
The new road markings on MG Road street are very clear.,0,Traffic Light Issue
Street lighting improved on SV Road road. Feeling safer now.,0,Road Damage
Severe flooding on Connaught Place road every time it rains. Pathetic!,2,Flooding
speed limit has been changed to 40 kmph near brigade road.,1,Illegal Parking
The new road markings on Gandhi Nagar street are very clear.,0,Road Damage
Garbage dumped on Gandhi Nagar road. Municipality is not cleaning!,2,Pothole
Severe flooding on MG Road road every time it rains. Pathetic!,2,Pothole
Road sign missing near Anna Salai school zone. Children at risk!,2,Pothole
